Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,MRID,Epsilon
LCDD,with_noise_20,log_91_1687182059,,,"[400, 801, 1206, 1607, 2008, 2417, 2821, 3221, 3633, 4046, 4470, 4891]","[806, 1021, 2361, 2754, 3407, 3685]",0.6666666666666666,91.83333333333331,00:00:00,0.2226386647671461,4.329806782713849e-05,400.0,400.0,100.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[400, 801, 1206, 1607, 2008, 2417, 2821, 3221, 3633, 4046, 4470, 4891]","[806, 1021, 2361, 2754, 3407, 3685]",0.6666666666666666,91.83333333333331,00:00:00,0.4242947939783335,8.251551808213408e-05,400.0,400.0,150.0,,,,,,
LCDD,without_noise,log_91_1687182059,,,"[807, 2360, 2760, 3407, 3807]","[806, 1021, 2361, 2754, 3407, 3685]",0.9090909090909092,26.0,00:00:00,0.1610727701336145,3.132492612477918e-05,400.0,400.0,20.0,,,,,,
LCDD,without_noise,log_91_1687182059,,,"[807, 2360, 2760, 3407, 3807]","[806, 1021, 2361, 2754, 3407, 3685]",0.9090909090909092,26.0,00:00:00,0.2931660301983356,5.70140082065997e-05,400.0,400.0,200.0,,,,,,
LCDD,without_noise,log_91_1687182059,,,"[807, 2360, 2760, 3407, 3807]","[806, 1021, 2361, 2754, 3407, 3685]",0.9090909090909092,26.0,00:00:00,0.1387487221509218,2.6983415431917896e-05,400.0,400.0,50.0,,,,,,
LCDD,with_noise_10,log_91_1687182059,,,"[611, 1220, 1833, 2443, 3058, 3667, 4271, 4884]","[806, 1021, 2361, 2754, 3407, 3685]",0.5714285714285715,123.5,00:00:00,0.1221142383292317,2.3748393296233323e-05,600.0,600.0,10.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[622, 1244, 1847, 2459, 3061, 3669, 4381, 4982]","[806, 1021, 2361, 2754, 3407, 3685]",0.4285714285714285,99.33333333333331,00:00:00,0.1426289435476064,2.77380286945948e-05,600.0,600.0,100.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[622, 1244, 1847, 2459, 3061, 3669, 4381, 4982]","[806, 1021, 2361, 2754, 3407, 3685]",0.4285714285714285,99.33333333333331,00:00:00,0.2420845171436667,4.707983608394919e-05,600.0,600.0,150.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[622, 1244, 1847, 2459, 3061, 3669, 4381, 4982]","[806, 1021, 2361, 2754, 3407, 3685]",0.4285714285714285,99.33333333333331,00:00:00,0.1313630975782871,2.554708237617408e-05,600.0,600.0,20.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[622, 1244, 1847, 2459, 3061, 3669, 4381, 4982]","[806, 1021, 2361, 2754, 3407, 3685]",0.4285714285714285,99.33333333333331,00:00:00,0.2555992323905229,4.970813543184033e-05,600.0,600.0,200.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[622, 1244, 1847, 2459, 3061, 3669, 4381, 4982]","[806, 1021, 2361, 2754, 3407, 3685]",0.4285714285714285,99.33333333333331,00:00:00,0.2379708178341388,4.627981677054432e-05,600.0,600.0,5.0,,,,,,
LCDD,with_noise_10,log_91_1687182059,,,"[611, 1220, 1833, 2443, 3058, 3667, 4271, 4884]","[806, 1021, 2361, 2754, 3407, 3685]",0.5714285714285715,123.5,00:00:00,0.120810929685831,2.34949299272328e-05,600.0,600.0,50.0,,,,,,
LCDD,without_noise,log_91_1687182059,,,"[807, 2360, 3407, 4207]","[806, 1021, 2361, 2754, 3407, 3685]",0.6,0.6666666666666666,00:00:00,0.2252999292686581,4.381562218371415e-05,800.0,800.0,10.0,,,,,,
LCDD,without_noise,log_91_1687182059,,,"[807, 2360, 3407, 4207]","[806, 1021, 2361, 2754, 3407, 3685]",0.6,0.6666666666666666,00:00:00,0.2314672330394387,4.501502003878622e-05,800.0,800.0,100.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[878, 1696, 2501, 3395, 4249, 5079]","[806, 1021, 2361, 2754, 3407, 3685]",0.5,74.66666666666667,00:00:00,0.2500147586688399,4.862208453302994e-05,800.0,800.0,150.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[878, 1696, 2501, 3395, 4249, 5079]","[806, 1021, 2361, 2754, 3407, 3685]",0.5,74.66666666666667,00:00:00,0.2432961799204349,4.731547645282671e-05,800.0,800.0,20.0,,,,,,
LCDD,with_noise_10,log_91_1687182059,,,"[803, 1605, 2443, 3250, 4055, 4921]","[806, 1021, 2361, 2754, 3407, 3685]",0.5,80.66666666666667,00:00:00,0.2592252073809504,5.041330365246022e-05,800.0,800.0,200.0,,,,,,
LCDD,without_noise,log_91_1687182059,,,"[807, 2360, 3407, 4207]","[806, 1021, 2361, 2754, 3407, 3685]",0.6,0.6666666666666666,00:00:00,0.2267067050561308,4.408920751772285e-05,800.0,800.0,5.0,,,,,,
LCDD,with_noise_20,log_91_1687182059,,,"[878, 1696, 2501, 3395, 4249, 5079]","[806, 1021, 2361, 2754, 3407, 3685]",0.5,74.66666666666667,00:00:00,0.2521671522408724,4.904067527049249e-05,800.0,800.0,50.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[106, 211, 317, 418, 524, 625, 726, 831, 931, 1037, 1139, 1246, 1348, 1448, 1557, 1657, 1760, 1860, 1960, 2069, 2171]",[1041],0.0909090909090909,4.0,00:00:00,0.0929209804162383,4.142709782266532e-05,100.0,100.0,10.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,"[108, 1043]",[1041],0.6666666666666666,2.0,00:00:00,0.1226358441635966,5.467491937743943e-05,100.0,100.0,100.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[106, 211, 317, 418, 524, 625, 726, 831, 931, 1037, 1139, 1246, 1348, 1448, 1557, 1657, 1760, 1860, 1960, 2069, 2171]",[1041],0.0909090909090909,4.0,00:00:00,0.0502831814810633,2.241782500270324e-05,100.0,100.0,150.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,"[108, 1043]",[1041],0.6666666666666666,2.0,00:00:00,0.1207097796723246,5.381621920299807e-05,100.0,100.0,20.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[106, 211, 317, 418, 524, 625, 726, 831, 931, 1037, 1139, 1246, 1348, 1448, 1557, 1657, 1760, 1860, 1960, 2069, 2171]",[1041],0.0909090909090909,4.0,00:00:00,0.0909302504733204,4.0539567754489736e-05,100.0,100.0,200.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,"[108, 1043]",[1041],0.6666666666666666,2.0,00:00:00,0.1374150924384594,6.126397344559045e-05,100.0,100.0,5.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[106, 211, 317, 418, 524, 625, 726, 831, 931, 1037, 1139, 1246, 1348, 1448, 1557, 1657, 1760, 1860, 1960, 2069, 2171]",[1041],0.0909090909090909,4.0,00:00:00,0.0501276012510061,2.2348462439146736e-05,100.0,100.0,50.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,[1648],[1041],,,00:00:00,0.096219596453011,4.2897724678114594e-05,1200.0,1200.0,10.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,[1648],[1041],,,00:00:00,0.2444538734853267,0.000108985231157,1200.0,1200.0,150.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,[1648],[1041],,,00:00:00,0.0958529058843851,4.2734242480778025e-05,1200.0,1200.0,200.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[],[1041],,,00:00:00,0.0851610321551561,3.796746863805445e-05,1200.0,1200.0,50.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[225, 427, 628, 831, 1037, 1246, 1448, 1680, 1888, 2137]",[1041],0.1818181818181818,4.0,00:00:00,0.2641029432415962,0.0001177454049226,200.0,200.0,10.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.1314659807831049,5.8611672217166695e-05,200.0,200.0,150.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.0710171042010188,3.166166036603603e-05,200.0,200.0,5.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[307, 670, 974, 1322, 1636, 1940]",[1041],0.2857142857142857,67.0,00:00:00,0.0924483621492981,4.12163897232716e-05,300.0,300.0,10.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.1138648716732859,5.076454376874096e-05,300.0,300.0,150.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[310, 616, 917, 1223, 1538, 1842, 2153]",[1041],0.25,124.0,00:00:00,0.0983831528574228,4.386230622265842e-05,300.0,300.0,20.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[307, 670, 974, 1322, 1636, 1940]",[1041],0.2857142857142857,67.0,00:00:00,0.1071977317333221,4.779212293059391e-05,300.0,300.0,5.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.1176479002460837,5.245113697997492e-05,300.0,300.0,50.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[415, 820, 1223, 1647, 2069]",[1041],0.3333333333333333,182.0,00:00:00,0.0943743996322155,4.207507785653834e-05,400.0,400.0,10.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.1151571860536933,5.134069819602911e-05,400.0,400.0,100.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[415, 820, 1223, 1647, 2069]",[1041],0.3333333333333333,182.0,00:00:00,0.0888193873688578,3.959847854162187e-05,400.0,400.0,150.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[415, 820, 1223, 1647, 2069]",[1041],0.3333333333333333,182.0,00:00:00,0.093688135035336,4.17691194985894e-05,400.0,400.0,200.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[415, 820, 1223, 1647, 2069]",[1041],0.3333333333333333,182.0,00:00:00,0.2462429674342274,0.0001097828655524,400.0,400.0,5.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[532, 974, 1760]",[1041],0.5,67.0,00:00:00,0.1042165728285908,4.646302845679486e-05,400.0,400.0,50.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[993, 1648]",[1041],0.6666666666666666,48.0,00:00:00,0.0933415908366441,4.161461918709058e-05,600.0,600.0,10.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[831, 1780]",[1041],,,00:00:00,0.0965207871049642,4.30320049509426e-05,600.0,600.0,100.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.0970862945541739,4.3284125971544334e-05,600.0,600.0,150.0,,,,,,
LCDD,without_noise,log_92_1687182064,,,[1043],[1041],1.0,2.0,00:00:00,0.086914736777544,3.874932535779939e-05,600.0,600.0,50.0,,,,,,
LCDD,with_noise_20,log_92_1687182064,,,"[831, 1780]",[1041],,,00:00:00,0.0987203530967235,4.401264070295299e-05,800.0,800.0,10.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[993, 1935]",[1041],0.6666666666666666,48.0,00:00:00,0.0915769338607788,4.082787956343237e-05,800.0,800.0,100.0,,,,,,
LCDD,with_noise_10,log_92_1687182064,,,"[993, 1935]",[1041],0.6666666666666666,48.0,00:00:00,0.0922187399119138,4.111401690232451e-05,800.0,800.0,150.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[100, 205, 316, 419, 526, 626, 726, 829, 942, 1048, 1154, 1259, 1360, 1461, 1562, 1669, 1769, 1871, 1971, 2071, 2178, 2279, 2387, 2509, 2610, 2715, 2828, 2937, 3046, 3154, 3284, 3390, 3491, 3591, 3695, 3799, 3900, 4000, 4100, 4205, 4308]","[761, 990, 1771, 2107, 2887, 3146]",0.2553191489361702,29.83333333333333,00:00:00,0.1184573760256171,2.7484309982741796e-05,100.0,100.0,10.0,,,,,,
LCDD,with_noise_10,log_93_1687182065,,,"[105, 206, 316, 416, 523, 628, 730, 834, 935, 1040, 1142, 1248, 1351, 1451, 1557, 1660, 1760, 1865, 1978, 2088, 2188, 2293, 2402, 2504, 2606, 2709, 2811, 2913, 3022, 3122, 3237, 3339, 3442, 3544, 3645, 3746, 3846, 3962, 4070, 4171, 4277]","[761, 990, 1771, 2107, 2887, 3146]",0.2553191489361702,26.83333333333333,00:00:00,0.1059116283431649,2.457346365270648e-05,100.0,100.0,100.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 861, 961, 1061, 1770, 1875, 2012, 2112, 2886]","[761, 990, 1771, 2107, 2887, 3146]",0.6666666666666667,7.4,00:00:00,0.0950359236449003,2.2050098293480357e-05,100.0,100.0,150.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[100, 205, 316, 419, 526, 626, 726, 829, 942, 1048, 1154, 1259, 1360, 1461, 1562, 1669, 1769, 1871, 1971, 2071, 2178, 2279, 2387, 2509, 2610, 2715, 2828, 2937, 3046, 3154, 3284, 3390, 3491, 3591, 3695, 3799, 3900, 4000, 4100, 4205, 4308]","[761, 990, 1771, 2107, 2887, 3146]",0.2553191489361702,29.83333333333333,00:00:00,0.132270467467606,3.0689203588771706e-05,100.0,100.0,20.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[100, 205, 316, 419, 526, 626, 726, 829, 942, 1048, 1154, 1259, 1360, 1461, 1562, 1669, 1769, 1871, 1971, 2071, 2178, 2279, 2387, 2509, 2610, 2715, 2828, 2937, 3046, 3154, 3284, 3390, 3491, 3591, 3695, 3799, 3900, 4000, 4100, 4205, 4308]","[761, 990, 1771, 2107, 2887, 3146]",0.2553191489361702,29.83333333333333,00:00:00,0.127025282010436,2.9472223204277508e-05,100.0,100.0,200.0,,,,,,
LCDD,with_noise_10,log_93_1687182065,,,"[105, 206, 316, 416, 523, 628, 730, 834, 935, 1040, 1142, 1248, 1351, 1451, 1557, 1660, 1760, 1865, 1978, 2088, 2188, 2293, 2402, 2504, 2606, 2709, 2811, 2913, 3022, 3122, 3237, 3339, 3442, 3544, 3645, 3746, 3846, 3962, 4070, 4171, 4277]","[761, 990, 1771, 2107, 2887, 3146]",0.2553191489361702,26.83333333333333,00:00:00,0.0591286215931177,1.371893772462128e-05,100.0,100.0,5.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.1642135567963123,3.81005932242024e-05,1200.0,1200.0,10.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.2168061668053269,5.030305494323131e-05,1200.0,1200.0,100.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.2092700013890862,4.8554524684242745e-05,1200.0,1200.0,150.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.2306606117635965,5.351754333262101e-05,1200.0,1200.0,20.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.225715129636228,5.23700996835796e-05,1200.0,1200.0,200.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.2057535639032721,4.773864591723252e-05,1200.0,1200.0,5.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.4033814873546362,9.359199242566964e-05,1200.0,1200.0,50.0,,,,,,
LCDD,with_noise_10,log_93_1687182065,,,"[206, 406, 628, 865, 1087, 1294, 1507, 1712, 1915, 2116, 2336, 2537, 2744, 2990, 3207, 3433, 3645, 3846, 4046, 4249]","[761, 990, 1771, 2107, 2887, 3146]",0.4615384615384615,72.16666666666667,00:00:00,0.1132462117820978,2.62752231512988e-05,200.0,200.0,10.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 960, 1160, 1770, 2012, 2212, 2886, 3086, 3286]","[761, 990, 1771, 2107, 2887, 3146]",0.8,31.33333333333333,00:00:00,0.1526219276711344,3.5411120109311945e-05,200.0,200.0,100.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[232, 465, 726, 977, 1237, 1437, 1640, 1843, 2049, 2256, 2460, 2665, 2869, 3079, 3306, 3513, 3758, 3972, 4173]","[761, 990, 1771, 2107, 2887, 3146]",0.4799999999999999,43.833333333333336,00:00:00,0.1253042053431272,2.907290147172326e-05,200.0,200.0,150.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[232, 465, 726, 977, 1237, 1437, 1640, 1843, 2049, 2256, 2460, 2665, 2869, 3079, 3306, 3513, 3758, 3972, 4173]","[761, 990, 1771, 2107, 2887, 3146]",0.4799999999999999,43.833333333333336,00:00:00,0.1277254838496446,2.9634683027759783e-05,200.0,200.0,200.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 960, 1160, 1770, 2012, 2212, 2886, 3086, 3286]","[761, 990, 1771, 2107, 2887, 3146]",0.8,31.33333333333333,00:00:00,0.1498381048440933,3.4765221541552976e-05,200.0,200.0,5.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[232, 465, 726, 977, 1237, 1437, 1640, 1843, 2049, 2256, 2460, 2665, 2869, 3079, 3306, 3513, 3758, 3972, 4173]","[761, 990, 1771, 2107, 2887, 3146]",0.4799999999999999,43.833333333333336,00:00:00,0.1199590554460883,2.7832727481691024e-05,200.0,200.0,50.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 1060, 1770, 2070, 2370, 2886, 3186]","[761, 990, 1771, 2107, 2887, 3146]",0.923076923076923,25.0,00:00:00,0.1387004218995571,3.218107236648657e-05,300.0,300.0,10.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[465, 863, 1446, 1937]","[761, 990, 1771, 2107, 2887, 3146]",0.4,134.0,00:00:00,0.1041878517717123,2.417351549227664e-05,300.0,300.0,150.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,"[465, 863, 1446, 1937]","[761, 990, 1771, 2107, 2887, 3146]",0.4,134.0,00:00:00,0.1830506445840001,4.2471147235266846e-05,300.0,300.0,20.0,,,,,,
LCDD,with_noise_10,log_93_1687182065,,,"[301, 628, 936, 1256, 1567, 1904, 2215, 2527, 2833, 3138, 3458, 3759, 4072]","[761, 990, 1771, 2107, 2887, 3146]",0.631578947368421,81.66666666666667,00:00:00,0.0577261140570044,1.3393529943620523e-05,300.0,300.0,200.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 1060, 1770, 2070, 2370, 2886, 3186]","[761, 990, 1771, 2107, 2887, 3146]",0.923076923076923,25.0,00:00:00,0.1505383905023336,3.492770081260641e-05,300.0,300.0,5.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 1060, 1770, 2070, 2370, 2886, 3186]","[761, 990, 1771, 2107, 2887, 3146]",0.923076923076923,25.0,00:00:00,0.1461232183501124,3.390329892113978e-05,300.0,300.0,50.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[465],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.2574401330202818,5.973088933185192e-05,400.0,400.0,10.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[465],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.275395362637937,6.38968358788717e-05,400.0,400.0,100.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 1160, 1770, 2170, 2886, 3286]","[761, 990, 1771, 2107, 2887, 3146]",1.0,62.66666666666666,00:00:00,0.1830585738644004,4.247298697549893e-05,400.0,400.0,150.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,"[760, 1160, 1770, 2170, 2886, 3286]","[761, 990, 1771, 2107, 2887, 3146]",1.0,62.66666666666666,00:00:00,0.1274101994931697,2.9561531204911784e-05,400.0,400.0,50.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[726],"[761, 990, 1771, 2107, 2887, 3146]",0.2857142857142857,35.0,00:00:00,0.2378988647833466,5.5196952385927295e-05,600.0,600.0,10.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[726],"[761, 990, 1771, 2107, 2887, 3146]",0.2857142857142857,35.0,00:00:00,0.2289419090375304,5.3118772398498936e-05,600.0,600.0,100.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,[760],"[761, 990, 1771, 2107, 2887, 3146]",0.2857142857142857,1.0,00:00:00,0.1847279909998178,4.286032273777676e-05,600.0,600.0,150.0,,,,,,
LCDD,with_noise_10,log_93_1687182065,,,"[646, 1341, 2013, 2736]","[761, 990, 1771, 2107, 2887, 3146]",0.6,120.0,00:00:00,0.0681014470756053,1.5800799785523292e-05,600.0,600.0,200.0,,,,,,
LCDD,with_noise_10,log_93_1687182065,,,"[646, 1341, 2013, 2736]","[761, 990, 1771, 2107, 2887, 3146]",0.6,120.0,00:00:00,0.1333077494055032,3.0929872251856905e-05,600.0,600.0,5.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.2465358823537826,5.7200900778139824e-05,800.0,800.0,10.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,[837],"[761, 990, 1771, 2107, 2887, 3146]",0.2857142857142857,76.0,00:00:00,0.1551560023799538,3.599907247794753e-05,800.0,800.0,100.0,,,,,,
LCDD,without_noise,log_93_1687182065,,,[837],"[761, 990, 1771, 2107, 2887, 3146]",0.2857142857142857,76.0,00:00:00,0.1627142848446965,3.775273430271381e-05,800.0,800.0,5.0,,,,,,
LCDD,with_noise_20,log_93_1687182065,,,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:00,0.271811006590724,6.306519874494756e-05,800.0,800.0,50.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0705259414389729,1.6567052252518897e-05,100.0,100.0,10.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.121505226008594,2.8542453842751712e-05,100.0,100.0,150.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.2637004870921373,6.194514613392937e-05,100.0,100.0,20.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.2847139332443476,6.688135617673187e-05,100.0,100.0,200.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1297937463968992,3.0489487055884243e-05,100.0,100.0,5.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0916432132944464,2.152765170177272e-05,1200.0,1200.0,10.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1134344162419438,2.664656242469905e-05,1200.0,1200.0,100.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.109316118992865,2.567914470116633e-05,1200.0,1200.0,20.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0870163617655634,2.044077091039781e-05,1200.0,1200.0,200.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0981706995517015,2.3061005297557326e-05,1200.0,1200.0,5.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0896672019734978,2.1063472392177087e-05,1200.0,1200.0,50.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1267745215445757,2.978024936447632e-05,200.0,200.0,10.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1243367288261652,2.920759427441043e-05,200.0,200.0,150.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1201962912455201,2.8234975627324437e-05,200.0,200.0,20.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1328827487304806,3.121511598085052e-05,200.0,200.0,200.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1289089489728212,3.0281641760117745e-05,200.0,200.0,50.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1048949947580695,2.4640590734806088e-05,300.0,300.0,150.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.102357255294919,2.404445743361969e-05,300.0,300.0,20.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0480384789407253,1.1284585139940176e-05,300.0,300.0,200.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1088646482676267,2.5573090971958364e-05,400.0,400.0,100.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1222682781517505,2.8721700294045234e-05,400.0,400.0,20.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0480747781693935,1.129311209053172e-05,400.0,400.0,200.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1195808425545692,2.8090402291418663e-05,400.0,400.0,50.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1093340720981359,2.5683362015066e-05,600.0,600.0,10.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1251052590087056,2.938812755666094e-05,600.0,600.0,100.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1179457902908325,2.7706316723239963e-05,600.0,600.0,150.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0873587112873792,2.0521191281977747e-05,600.0,600.0,20.0,,,,,,
LCDD,with_noise_10,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.2619518162682652,6.153437074659743e-05,600.0,600.0,200.0,,,,,,
LCDD,with_noise_20,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.1234767530113458,2.9005579753663585e-05,600.0,600.0,5.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.0959168439731001,2.2531558368123136e-05,800.0,800.0,10.0,,,,,,
